City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Viedma,AR,-40.8135,-62.9967,72.05,29,34,19.42,scattered clouds
80,Ouargaye,BF,11.5033,0.0572,82.35,14,1,8.01,clear sky
81,Kilembe,UG,0.2,30.0,61.02,87,100,5.37,overcast clouds
82,Nikolskoye,RU,59.7035,30.7861,15.03,94,100,5.73,overcast clouds
83,Haines Junction,CA,60.7522,-137.5108,-29.25,75,65,0.0,broken clouds
84,Barrow,US,71.2906,-156.7887,12.22,85,90,14.97,overcast clouds
85,Xacmaz,AZ,41.4635,48.806,45.68,58,0,3.24,clear sky
86,Mackay,AU,-21.15,149.2,79.68,88,13,5.75,few clouds
87,Pokosnoye,RU,55.5258,101.0536,23.22,78,100,18.03,overcast clouds
88,Katherine,AU,-14.4667,132.2667,82.72,65,100,3.44,overcast clouds
89,Port Elizabeth,ZA,-33.918,25.5701,62.1,94,90,9.22,light intensity drizzle
90,Puerto Ayacucho,VE,5.6639,-67.6236,85.5,68,99,3.56,moderate rain
91,Axim,GH,4.8699,-2.2405,80.13,84,38,6.67,scattered clouds
92,Nouadhibou,MR,20.931,-17.0347,66.18,68,9,12.66,clear sky
93,Cape Town,ZA,-33.9258,18.4232,65.12,77,75,3.0,moderate rain
94,Bluff,NZ,-46.6,168.3333,54.81,90,99,10.54,light rain
95,Kodiak,US,57.79,-152.4072,25.92,74,98,5.55,overcast clouds
96,Placido De Castro,BR,-10.3353,-67.1856,86.05,63,64,2.59,broken clouds
97,Bethel,US,41.3712,-73.414,46.89,59,82,4.74,broken clouds
98,Susuman,RU,62.7833,148.1667,-47.72,100,92,0.58,overcast clouds
99,Pisco,PE,-13.7,-76.2167,73.45,68,0,18.41,clear sky
100,Avarua,CK,-21.2078,-159.775,80.65,78,75,5.75,broken clouds
101,Visby,SE,57.6409,18.296,26.85,86,41,6.91,scattered clouds
102,Ambon,ID,-3.6954,128.1814,75.34,94,40,6.91,scattered clouds
103,Kamenka,RU,51.3223,42.7678,28.74,82,100,3.44,overcast clouds
104,Toora-Khem,RU,52.4675,96.11,12.42,98,98,2.15,overcast clouds
105,Daru,PG,-9.0763,143.2092,81.66,82,100,7.74,overcast clouds
106,Chuy,UY,-33.6971,-53.4616,67.82,79,100,9.69,light rain
107,Iqaluit,CA,63.7506,-68.5145,4.73,85,90,28.77,light snow
108,Port Moresby,PG,-9.4431,147.1797,74.62,100,40,5.75,scattered clouds
109,Zhigansk,RU,66.7697,123.3711,-15.36,98,100,14.99,light snow
