City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Morgan City,US,81.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
286,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
288,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
291,Kavieng,PG,82.36,moderate rain,-2.5744,150.7967,Nusa Island Retreat
292,Ahuimanu,US,75.45,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
293,Santa Maria,BR,88.9,clear sky,-29.6842,-53.8069,Hotel Morotin
300,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
306,Caravelas,BR,75.99,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
310,Gao,ML,75.61,clear sky,16.6362,1.637,
313,Lagunas,PE,82.38,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
315,Rincon,US,75.65,overcast clouds,32.296,-81.2354,Days Inn Rincon
322,Atar,MR,75.07,scattered clouds,20.5169,-13.0499,Oumou Elghoura
327,Kieta,PG,82.29,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
328,Raga,SS,79.86,scattered clouds,8.4596,25.678,
331,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
332,Kidal,ML,76.91,overcast clouds,18.4411,1.4078,
334,Lakatoro,VU,81.54,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
338,Danane,CI,79.39,overcast clouds,7.2596,-8.155,Lmd
341,Tutoia,BR,81.41,light rain,-2.7619,-42.2744,Pousada Guará's
342,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
347,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
348,Fomboni,KM,81.95,broken clouds,-12.28,43.7425,Auberge les abou
350,Labrea,BR,84.15,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
352,Dwarka,IN,75.16,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
353,Bull Savanna,JM,79.74,overcast clouds,17.8868,-77.5902,Big Red's
355,Mattru,SL,76.89,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
357,Luanda,AO,78.1,broken clouds,-8.8368,13.2343,Hotel Fórum
360,Shreveport,US,79.34,overcast clouds,32.5251,-93.7502,Bally's Shreveport Casino & Hotel (Formerly Eldorado Casino Shreveport)
362,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
363,Takoradi,GH,81.05,scattered clouds,4.8845,-1.7554,Raybow International Hotel
369,La Primavera,CO,85.8,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
